time,open,high,low,close,Volume
1771353720,1.35592,1.35611,1.35573,1.35604,338
1771353900,1.35604,1.35615,1.3559,1.356,340
1771354080,1.35599,1.356,1.35588,1.35598,226
1771354260,1.35599,1.35614,1.35592,1.35598,283
1771354440,1.35597,1.35608,1.35588,1.35604,235
1771354620,1.35604,1.35608,1.3559,1.35592,351
1771354800,1.35591,1.3561,1.3559,1.35609,389
1771354980,1.35609,1.35617,1.35602,1.35605,223
1771355160,1.35605,1.35612,1.35603,1.35604,273
1771355340,1.35604,1.3561,1.35593,1.356,287
1771355520,1.356,1.35612,1.35592,1.35602,265
1771355700,1.35602,1.35602,1.35582,1.35592,178
1771355880,1.35594,1.35604,1.35579,1.35582,341
1771356060,1.35584,1.35604,1.35582,1.35603,189
1771356240,1.35604,1.35604,1.3558,1.35582,129
1771356420,1.35582,1.35584,1.3556,1.35564,257
1771356600,1.35564,1.35596,1.35563,1.35592,283
1771356780,1.3559,1.35601,1.35573,1.35592,287
1771356960,1.35593,1.35601,1.35589,1.3559,115
1771357140,1.35592,1.3561,1.35591,1.35592,149
1771357320,1.35592,1.35612,1.35588,1.35612,231
1771357500,1.3561,1.35611,1.356,1.35603,211
1771357680,1.35604,1.35614,1.35602,1.3561,186
1771357860,1.3561,1.35611,1.35598,1.3561,328
1771358040,1.35609,1.35613,1.356,1.35612,164
1771358220,1.35611,1.35632,1.35609,1.35616,333
1771358400,1.35616,1.35642,1.35609,1.35632,418
1771358580,1.35632,1.35642,1.35621,1.35638,311
1771358760,1.35639,1.3564,1.35629,1.35631,178
1771358940,1.3563,1.3563,1.35614,1.35622,119
1771359120,1.3562,1.35621,1.35602,1.35608,165
1771359300,1.35609,1.3561,1.35601,1.35606,166
1771359480,1.35606,1.35608,1.35589,1.35589,207
1771359660,1.35588,1.356,1.35584,1.35585,178
1771359840,1.35584,1.35589,1.35578,1.35588,163
1771360020,1.35586,1.35593,1.35586,1.3559,72
1771360200,1.3559,1.35612,1.35589,1.3561,198
1771360380,1.3561,1.35612,1.35598,1.356,153
1771360560,1.35598,1.35606,1.35597,1.35599,138
1771360740,1.356,1.35606,1.35589,1.3559,186
1771360920,1.35591,1.35606,1.3559,1.356,188
1771361100,1.35602,1.35608,1.35593,1.356,109
1771361280,1.356,1.35607,1.356,1.356,127
1771361460,1.35598,1.3561,1.35598,1.35607,121
